Name,FIPS,#RenterOccupiedHousingUnits,#MovedSameCounty,#MovedSameState,#MovedNewState,MedianRent,MedianHomeValue,#VacantForRent
"Alpine, NJ",3401090,116,5,0,10,738.6224168,2000001,0
"Atherton, CA",603092,103,192,130,44,,2000001,22
"Bear Dance, MT",3004410,0,,,,,2000001,0
"Belleair Shore, FL",1205150,0,0,0,0,,2000001,0
"Belvedere, CA",605164,209,21,47,0,2693.870625,2000001,36
"Beverly Hills, CA",606308,8865,920,121,117,2127.941707,2000001,474
"Clyde Hill, WA",5313365,141,277,17,0,3039.348514,2000001,0
"Crystal Bay, NV",3216700,10,,,,,2000001,0
"Del Mar, CA",618506,1067,467,27,97,2226.353643,2000001,6
"Diablo, CA",619150,4,,,,,2000001,0
"Fairbanks Ranch, CA",623150,54,57,7,0,,2000001,0
"Fenwick, CT",927810,6,,,,2232.300969,2000001,0
"Fisher Island, FL",1222375,0,,,,,2000001,0
"Glenbrook, NV",3227900,0,,,,,2000001,8
"Golden Beach, FL",1226250,12,8,0,0,,2000001,0
"Hanalei, HI",1511500,57,4,0,0,1821.8,2000001,156
"Henlopen Acres, DE",1033900,5,0,0,0,,2000001,0
"Hidden Hills, CA",633518,20,147,0,0,,2000001,0
"Hillsborough, CA",633798,243,336,96,87,,2000001,0
"Hunts Point, WA",5332755,5,2,0,9,2173.9,2000001,0
"Indian Creek, FL",1233425,5,,,,,2000001,0
"Jupiter Island, FL",1235925,34,10,0,0,2789.15269,2000001,5
"Kapalua, HI",1529725,50,138,0,26,2649.699138,2000001,420
"Kings Point, NY",3639694,0,28,7,28,550.2304474,2000001,32
"Ladera, CA",639094,0,118,14,53,,2000001,0
"Los Altos Hills, CA",643294,243,46,198,0,2492.569125,2000001,152
"Los Altos, CA",643280,1949,759,391,517,3276.026723,2000001,73
"Loyola, CA",644378,39,24,20,42,,2000001,13
"Malibu, CA",645246,1531,452,25,72,2763.982124,2000001,0
"Manalapan, FL",1242700,1,3,0,0,2708.186578,2000001,0
"Mantoloking, NJ",3443380,2,2,0,0,2718.178211,2000001,0
"Matinecock, NY",3646107,45,27,0,54,1666,2000001,0
"Medina, WA",5344725,156,187,27,41,,2000001,0
"Menlo Park, CA",646870,4596,831,567,529,2256.737689,2000001,423
"Monte Sereno, CA",648956,27,4,0,0,2390.208848,2000001,81
"Montecito, CA",648844,703,346,146,64,2525.8,2000001,0
"North Key Largo, FL",1249406,42,17,8,2,1876.466565,2000001,61
"Ohkay Owingeh, NM",3553150,24,,,,511.4508394,2000001,6
"Palo Alto, CA",655282,11696,1421,1173,835,2529.61033,2000001,621
